1,#,state-#,1 = primary; 2 = (bkgd),Species only (deleted all recording info from column E),Species and Locations (redundant info; leave as is),Family Name,"Taxon group--full length from ""Web--Listen by species"" for LISTEN BY SPECIES web page",Taxon group--shortened for 2nd line of THIS RECORDING on 381 web pages,"Location--full length from file ""Web--Listen by state"" for LISTEN BY STATE",Location--shortened for first line of THIS RECORDING for 381 web pages,,Location--shortened for first line of THIS RECORDING for 381 web pages; EXPERIMENTAL; DO NOT USE THIS COLUMN
417,290,MT-290,2,Brown-headed cowbird ,"Brown-headed cowbird VA-87, KY-115, (KS-162), MO-163, MT-281, (WY-236), (MT-290), (OR-339)",Icteridae,Blackbirds,Blackbirds,Montana (general) ,Montana,Montana: General,Montana
415,290,MT-290,2,Ruffed grouse ,"Ruffed grouse (MT-271), (MT-290), ID-305, ID-306",Phasianidae,"Quail, grouse, pheasants","Quail, grouse, +",Montana (general) ,Montana,Montana: General,Montana
416,290,MT-290,2,Sandhill crane,"Sandhill crane (CO-213), (MT-268), MT-272, (MT-285), (MT-290)",Gruidae,"Rails, cranes","Rails, cranes",Montana (general) ,Montana,Montana: General,Montana
414,290,MT-290,1,Lincoln’s sparrow,"Lincoln’s sparrow CO-213, MT-290",Emberizidae,Sparrows,Sparrows,Montana (general) ,Montana,Montana: General,Montana
418,291,MT-291,1,Red-naped sapsucker,"Red-naped sapsucker (CO-213), (WY-251), MT-291",Picidae,"Kingfisher, woodpeckers","Kingfisher, woodpeckers","Big Hole National Battlefield, and Chief Joseph Pass, Montana ","Big Hole, Montana","Montana: Big Hole National Battlefield, Chief Joseph Pass","Big Hole & Chief Joseph, MT"
419,292,MT-292,2,Coyotes,Coyotes (MT-292),Miscellaneous,"Miscellaneous (dogs, geysers, cattle, etc.)",Miscellaneous (dogs +),"Big Hole National Battlefield, and Chief Joseph Pass, Montana ","Big Hole, Montana","Montana: Big Hole National Battlefield, Chief Joseph Pass","Big Hole & Chief Joseph, MT"
420,292,MT-292,1,Townsend’s solitaire,"Townsend’s solitaire MT-292, OR-346",Turdidae,Thrushes,Thrushes,"Big Hole National Battlefield, and Chief Joseph Pass, Montana ","Big Hole, Montana","Montana: Big Hole National Battlefield, Chief Joseph Pass","Big Hole & Chief Joseph, MT"
274,293,OR-293,2,Red squirrel ,Red squirrel (OR-293),Miscellaneous,"Miscellaneous (dogs, geysers, cattle, etc.)",Miscellaneous (dogs +),"Pacific coast, Oregon ","Pacific coast, Oregon",Oregon: The The Pacific coast,"Pacific coast, OR"
421,293,OR-293,1,Pacific wren ,"Pacific wren OR-293, OR-300, OR-301",Troglodytidae,Wrens,Wrens,"Pacific coast, Oregon ","Pacific coast, Oregon",Oregon: The The Pacific coast,"Pacific coast, OR"
422,294,MT-294,1,Marsh wren ,"Marsh wren CO-230, MT-294, OR-371",Troglodytidae,Wrens,Wrens,Montana (general) ,Montana,Montana: General,Montana
424,295,OR-295,2,Great horned owl,"Great horned owl (KS-174), (OR-295), OR-360",Strigidae,Owls,Owls,Eastern Oregon ,Eastern Oregon,Oregon: Eastern ,Eastern OR
423,295,OR-295,1,Common yellowthroat ,"Common yellowthroat VA-22, OR-295",Parulidae,Warblers,Warblers,Eastern Oregon ,Eastern Oregon,Oregon: Eastern ,Eastern OR 
425,296,MT-296,1,American wigeon,American wigeon MT-296,Anatidae,"Ducks, geese","Ducks, geese","Big Hole National Battlefield, and Chief Joseph Pass, Montana ","Big Hole, Montana","Montana: Big Hole National Battlefield, Chief Joseph Pass","Big Hole & Chief Joseph, MT"
426,297,MT-297,1,Osprey ,Osprey MT-297,Pandionidae,"Osprey, hawks","Osprey, hawks",Montana (general) ,Montana,Montana: General,Montana
427,298,ID-298,1,Spotted towhee ,"Spotted towhee CO-194, (OR-207), WY-235, ID-298, OR-354, (OR-359), OR-374, OR-375, OR-378 ",Emberizidae,Sparrows,Sparrows,Idaho,Idaho,Idaho ,Idaho
428,298,ID-298,2,American robin,"American robin, VA-1, VA-53, WY-244, MT-285, (ID-298)",Turdidae,Thrushes,Thrushes,Idaho,Idaho,Idaho ,Idaho
429,299,ID-299,1,Lewis’s woodpecker ,Lewis’s woodpecker ID-299,Picidae,"Kingfisher, woodpeckers","Kingfisher, woodpeckers",Idaho,Idaho,Idaho ,Idaho
430,300,OR-300,1,Pacific wren ,"Pacific wren OR-293, OR-300, OR-301",Troglodytidae,Wrens,Wrens,"Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
431,301,OR-301,1,Pacific wren ,"Pacific wren OR-293, OR-300, OR-301",Troglodytidae,Wrens,Wrens,"Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
433,302,ID-302,2,Black-headed grosbeak,"Black-headed grosbeak CO-193, CO-198, (ID-302), OR-325",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +",Idaho,Idaho,Idaho ,Idaho
432,302,ID-302,1,Nashville warbler,Nashville warbler ID-302,Parulidae,Warblers,Warblers,Idaho,Idaho,Idaho ,Idaho
434,303,ID-303,1,Steller’s jay,"Steller’s jay ID-303, OR-343, (OR-359)",Corvidae,Jays and crows,Jays and crows,Idaho,Idaho,Idaho ,Idaho
438,304,ID-304,2,Red-breasted nuthatch ,"Red-breasted nuthatch VA-60, (WY-251), (ID-304)",Sittidae,"Bushtit, nuthatches, creepers","Bushtit, nuthatches, +",Idaho,Idaho,Idaho ,Idaho
437,304,ID-304,2,Common raven,"Common raven (CO-218), MT-268, (ID-304), ID-344",Corvidae,Jays and crows,Jays and crows,Idaho,Idaho,Idaho ,Idaho
436,304,ID-304,2,Pileated woodpecker,"Pileated woodpecker VA-16, (VA-36), VA-70, (KY-134), (ID-304)",Picidae,"Kingfisher, woodpeckers","Kingfisher, woodpeckers",Idaho,Idaho,Idaho ,Idaho
435,304,ID-304,1,Varied thrush ,Varied thrush ID-304,Turdidae,Thrushes,Thrushes,Idaho,Idaho,Idaho ,Idaho
439,305,ID-305,1,Ruffed grouse ,"Ruffed grouse (MT-271), (MT-290), ID-305, ID-306",Phasianidae,"Quail, grouse, pheasants","Quail, grouse, +",Idaho,Idaho,Idaho ,Idaho
440,306,ID-306,1,Ruffed grouse ,"Ruffed grouse (MT-271), (MT-290), ID-305, ID-306",Phasianidae,"Quail, grouse, pheasants","Quail, grouse, +",Idaho,Idaho,Idaho ,Idaho
441,307,ID-307,1,Fox sparrow ,"Fox sparrow ID-307, OR-345",Emberizidae,Sparrows,Sparrows,Idaho,Idaho,Idaho ,Idaho
442,308,ID-308,1,Townsend’s warbler,Townsend’s warbler ID-308,Parulidae,Warblers,Warblers,Idaho,Idaho,Idaho ,Idaho
444,309,ID-309,2,Ring-necked pheasant ,"Ring-necked pheasant (CO-139), (KS-175), (ID-309), (ID-310), (OR-365)",Phasianidae,"Quail, grouse, pheasants","Quail, grouse, +",Idaho,Idaho,Idaho ,Idaho
443,309,ID-309,1,Yellow warbler ,"Yellow warbler WY-69, IL-94, (OR-190), MT-288, ID-309, ID-310, WY-316",Parulidae,Warblers,Warblers,Idaho,Idaho,Idaho ,Idaho
446,310,ID-310,2,Ring-necked pheasant,"Ring-necked pheasant (CO-139), (KS-175), (ID-309), (ID-310), (OR-365)",Phasianidae,"Quail, grouse, pheasants","Quail, grouse, +",Idaho,Idaho,Idaho ,Idaho
445,310,ID-310,1,Yellow warbler ,"Yellow warbler WY-69, IL-94, (OR-190), MT-288, ID-309, ID-310, WY-316",Parulidae,Warblers,Warblers,Idaho,Idaho,Idaho ,Idaho
447,311,OR-311,1,Western tanager ,"Western tanager OR-246, WY-247, WY-248, OR-249, OR-311, (OR-336)",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +",Eastern Oregon ,Eastern Oregon,Oregon: Eastern ,Eastern OR
448,312,OR-312,1,California quail ,"California quail OR-312, (OR-357)",Odontophoridae,"Quail, grouse, pheasants","Quail, grouse, +",Eastern Oregon ,Eastern Oregon,Oregon: Eastern ,Eastern OR
449,313,OR-313,1,Lazuli bunting ,"Lazuli bunting OR-313, OR-329, OR-339, OR-365",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +","Hell’s Canyon, Idaho and Oregon ",Hell’s Canyon,Idaho and Oregon: Hell’s Canyon,Hell’s Canyon
450,314,OR-314,1,Canyon wren ,Canyon wren OR-314,Troglodytidae,Wrens,Wrens,"Hell’s Canyon, Idaho and Oregon ",Hell’s Canyon,Idaho and Oregon: Hell’s Canyon,Hell’s Canyon
452,316,WY-316,1,American goldfinch ,"American goldfinch (OR-207), WY-234, (WY-235), WY-316",Fringillidae,"Finches, house sparrow","Finches, house sparrow","Sage country, Colorado and Wyoming ","Sage, Colorado and Wyoming ",Colorado and Wyoming: Sage Country,"Sage country, CO & WY "
451,316,WY-316,1,Yellow warbler ,"Yellow warbler WY-69, IL-94, (OR-190), MT-288, ID-309, ID-310, WY-316",Parulidae,Warblers,Warblers,"Sage country, Colorado and Wyoming ","Sage, Colorado and Wyoming ",Colorado and Wyoming: Sage Country,"Sage country, CO & WY "
453,317,CO-317,1,Red-winged blackbird ,"Red-winged blackbird IL-101, (KY-121), IL-138, (CO-218), CO-317",Icteridae,Blackbirds,Blackbirds,Illinois (beside the Mississippi River) ,"Mississippi River, Illinois",Illinois: Beside the Mississippi River ,"Mississippi River, IL"
454,321,WY-321,1,Sora,"Sora (CO-218), (CO-221), (WY-237), WY-261, WY-321",Rallidae,"Rails, cranes","Rails, cranes","Sage country, Colorado and Wyoming ","Sage, Colorado and Wyoming ",Colorado and Wyoming: Sage Country,"Sage country, CO & WY "
455,323,ID-323,1,Veery,"Veery VA-51, MT-287, ID-323",Turdidae,Thrushes,Thrushes,Idaho,Idaho,Idaho ,Idaho
456,324,OR-324,1,Gray catbird,"Gray catbird (VA-22), VA-28, MT-238, MT-277, OR-324",Mimidae,"Mockingbirds, catbirds, thrashers, starlings","Mockingbirds, starlings, +","Hell’s Canyon, Idaho and Oregon ",Hell’s Canyon,Idaho and Oregon: Hell’s Canyon,Hell’s Canyon
458,325,OR-325,1,Black-headed grosbeak,"Black-headed grosbeak CO-193, CO-198, (ID-302), OR-325",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +","Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
457,325,OR-325,1,Warbling vireo ,"Warbling vireo IL-124, WY-242, OR-325, OR-365",Vireonidae,"Shrikes, vireos","Shrikes, vireos","Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
459,326,CO-326,1,Mourning dove,"Mourning dove (VA-25), VA-106, CO-326",Columbidae,"Doves, cuckoos","Doves, cuckoos","Climbing the Rockies, Colorado ","The Rockies, Colorado",Colorado: Riding the Rockies,"Rockies, CO"
460,326,CO-326,1,Western scrub-jay ,"Western scrub-jay CO-326, OR-364",Corvidae,Jays and crows,Jays and crows,"Climbing the Rockies, Colorado ","The Rockies, Colorado",Colorado: Riding the Rockies,"Rockies, CO"
461,327,OR-327,1,Song sparrow,"Song sparrow VA-50, (VA-56), (MT-288), OR-327, ID-351",Emberizidae,Sparrows,Sparrows,"Hell’s Canyon, Idaho and Oregon ",Hell’s Canyon,Idaho and Oregon: Hell’s Canyon,Hell’s Canyon
462,328,OR-328,1,Yellow-breasted chat,"Yellow-breasted chat KY-86, IL-88, (MO-129), MO-152, WY-231, WY-236, OR-328",Parulidae,Warblers,Warblers,"Hell’s Canyon, Idaho and Oregon ",Hell’s Canyon,Idaho and Oregon: Hell’s Canyon,Hell’s Canyon
464,329,OR-329,1,Lazuli bunting,"Lazuli bunting OR-313, OR-329, OR-339, OR-365",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +","Hell’s Canyon, Idaho and Oregon ",Hell’s Canyon,Idaho and Oregon: Hell’s Canyon,Hell’s Canyon
463,329,OR-329,1,Rock wren ,"Rock wren CO-185, ID-223, WY-274, OR-329",Troglodytidae,Wrens,Wrens,"Hell’s Canyon, Idaho and Oregon ",Hell’s Canyon,Idaho and Oregon: Hell’s Canyon,Hell’s Canyon
466,330,OR-330,2,Northern flicker,"Northern flicker (VA-50), (KY-121), KS-183, (OR-330)",Picidae,"Kingfisher, woodpeckers","Kingfisher, woodpeckers",Eastern Oregon ,Eastern Oregon,Oregon: Eastern ,Eastern OR
465,330,OR-330,1,Cassin’s vireo,Cassin’s vireo OR-330,Vireonidae,"Shrikes, vireos","Shrikes, vireos",Eastern Oregon ,Eastern Oregon,Oregon: Eastern ,Eastern OR
467,331,OR-331,1,Western kingbird ,"Western kingbird (KS-173), KS-175, KS-187, OR-331",Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga",Eastern Oregon ,Eastern Oregon,Oregon: Eastern ,Eastern OR
468,331,OR-331,2,Common nighthawk,"Common nighthawk OR-170, (KS-187), (OR-192), (CO-215), (CO-216), (OR-331)",Caprimulgidae,Nightjars,Nightjars,Eastern Oregon ,Eastern Oregon,Oregon: Eastern ,Eastern OR
469,332,OR-332,1,House Sparrow ,"House Sparrow VA-12, KY-104, CO-139, OR-332",Emberizidae,"Finches, house sparrow","Finches, house sparrow",Eastern Oregon ,Eastern Oregon,Oregon: Eastern ,Eastern OR
470,333,OR-333,1,European starling,"European starling KY-103, OR-333",Sturnidae,"Mockingbirds, catbirds, thrashers, starlings","Mockingbirds, starlings, +",Eastern Oregon ,Eastern Oregon,Oregon: Eastern ,Eastern OR
471,334,OR-334,1,Hermit thrush ,"Hermit thrush CO-206, CO-256, OR-334, OR-347",Turdidae,Thrushes,Thrushes,Eastern Oregon ,Eastern Oregon,Oregon: Eastern ,Eastern OR
473,336,OR-336,2,Western tanager ,"Western tanager OR-246, WY-247, WY-248, OR-249, OR-311, (OR-336)",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +",Eastern Oregon ,Eastern Oregon,Oregon: Eastern ,Eastern OR
472,336,OR-336,1,Dark-eyed junco ,"Dark-eyed junco VA-63, WY-251, OR-336, OR-375",Emberizidae,Sparrows,Sparrows,Eastern Oregon ,Eastern Oregon,Oregon: Eastern ,Eastern OR 
474,337,OR-337,1,Golden-crowned kinglet ,"Golden-crowned kinglet (VA-62), OR-337",Regulidae,"Gnatcatchers, kinglets, wrentit","Gnatcatchers, kinglets, +","Over the Cascades, Oregon","The Cascades, Oregon",Oregon: Over the Cascades,"The Cascades, OR"
475,338,OR-338,1,Bumblebees ,Bumblebees OR-338,Miscellaneous,"Miscellaneous (dogs, geysers, cattle, etc.)",Miscellaneous (dogs +),Eastern Oregon ,Eastern Oregon,Oregon: Eastern ,Eastern OR
477,339,OR-339,2,Brown-headed cowbird ,"Brown-headed cowbird VA-87, KY-115, (KS-162), MO-163, MT-281, (WY-236), (MT-290), (OR-339)",Icteridae,Blackbirds,Blackbirds,Eastern Oregon ,Eastern Oregon,Oregon: Eastern ,Eastern OR
476,339,OR-339,1,Lazuli bunting,"Lazuli bunting OR-313, OR-329, OR-339, OR-365",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +",Eastern Oregon ,Eastern Oregon,Oregon: Eastern ,Eastern OR
478,341,OR-341,1,Bushtit ,Bushtit OR-341,Aegithalidae,"Bushtit, nuthatches, creepers","Bushtit, nuthatches, +","Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
479,342,OR-342,1,Western meadowlark,"Western meadowlark CO-178, CO-180, (CO-222), CO-229, OR-342",Icteridae,Blackbirds,Blackbirds,Eastern Oregon ,Eastern Oregon,Oregon: Eastern ,Eastern OR
480,342,OR-342,2,Willet ,"Willet (VA-8), (WY-274), (OR-342)",Scolopacidae,"Shorebirds, gulls, guillemots","Shorebirds, gulls, +",Eastern Oregon ,Eastern Oregon,Oregon: Eastern ,Eastern OR
481,343,OR-343,1,Steller’s jay ,"Steller’s jay ID-303, OR-343, (OR-359)",Corvidae,Jays and crows,Jays and crows,"Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
482,344,ID-344,1,Common raven ,"Common raven (CO-218), MT-268, (ID-304), ID-344",Corvidae,Jays and crows,Jays and crows,Idaho,Idaho,Idaho ,Idaho
483,345,OR-345,1,Fox sparrow ,"Fox sparrow ID-307, OR-345",Emberizidae,Sparrows,Sparrows,"Over the Cascades, Oregon","The Cascades, Oregon",Oregon: Over the Cascades,"The Cascades, OR"
484,346,OR-346,1,Townsend’s solitaire ,"Townsend’s solitaire MT-292, OR-346",Turdidae,Thrushes,Thrushes,"Over the Cascades, Oregon","The Cascades, Oregon",Oregon: Over the Cascades,"The Cascades, OR"
485,347,OR-347,1,Hermit thrush ,"Hermit thrush CO-206, CO-256, OR-334, OR-347",Turdidae,Thrushes,Thrushes,"Over the Cascades, Oregon","The Cascades, Oregon",Oregon: Over the Cascades,"The Cascades, OR"
486,348,MT-348,1,Olive-sided flycatcher ,"Olive-sided flycatcher CO-241, MT-348",Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga","Big Hole National Battlefield, and Chief Joseph Pass, Montana ","Big Hole, Montana","Montana: Big Hole National Battlefield, Chief Joseph Pass","Big Hole & Chief Joseph, MT"
487,350,OR-350,1,Hammond’s flycatcher ,Hammond’s flycatcher OR-350,Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga","Over the Cascades, Oregon","The Cascades, Oregon",Oregon: Over the Cascades,"The Cascades, OR"
488,351,ID-351,1,Song sparrow ,"Song sparrow VA-50, (VA-56), (MT-288), OR-327, ID-351",Emberizidae,Sparrows,Sparrows,Idaho,Idaho,Idaho ,Idaho
489,352,OR-352,1,Three-wattled bellbird,"Three-wattled bellbird, ‘OR’-352",Cotingide,Flycatchers (and cotinga),"Flycatchers, cotinga","Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
490,353,OR-353,1,Brown creeper ,"Brown creeper VA-59, (VA-60), OR-353",Certhiidae,"Bushtit, nuthatches, creepers","Bushtit, nuthatches, +","Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
492,354,OR-354,1,Spotted towhee ,"Spotted towhee CO-194, (OR-207), WY-235, ID-298, OR-354, (OR-359), OR-374, OR-375, OR-378 ",Emberizidae,Sparrows,Sparrows,"Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
491,354,OR-354,1,Swainson’s thrush,"Swainson’s thrush MT-243, OR-354, OR-372, OR-373 ",Turdidae,Thrushes,Thrushes,"Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
493,355,OR-355,1,Bewick’s wren ,"Bewick’s wren CO-142, OR-355, OR-356, OR-357, OR-358",Troglodytidae,Wrens,Wrens,"Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
494,356,OR-356,1,Bewick’s wren ,"Bewick’s wren CO-142, OR-355, OR-356, OR-357, OR-358",Troglodytidae,Wrens,Wrens,"Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
496,357,OR-357,2,California quail ,"California quail OR-312, (OR-357)",Odontophoridae,"Quail, grouse, pheasants","Quail, grouse, +","Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
495,357,OR-357,1,Bewick’s wren ,"Bewick’s wren CO-142, OR-355, OR-356, OR-357, OR-358",Troglodytidae,Wrens,Wrens,"Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
497,358,OR-358,1,Bewick’s wren ,"Bewick’s wren CO-142, OR-355, OR-356, OR-357, OR-358",Troglodytidae,Wrens,Wrens,"Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
498,359,OR-359,1,Black-capped chickadee ,"Black-capped chickadee VA-58, OR-182, MT-288, OR-359",Paridae,"Chickadees, titmouse","Chickadees, titmouse","Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
499,359,OR-359,2,Pied-billed grebe ,"Pied-billed grebe OR-179, (OR-190), (OR-359)",Podicipedidae,Grebes,Grebes,"Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
500,359,OR-359,2,Steller’s jay ,"Steller’s jay ID-303, OR-343, (OR-359)",Corvidae,Jays and crows,Jays and crows,"Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
501,359,OR-359,2,Spotted towhee ,"Spotted towhee CO-194, (OR-207), WY-235, ID-298, OR-354, (OR-359), OR-374, OR-375, OR-378 ",Emberizidae,Sparrows,Sparrows,"Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
502,360,OR-360,1,Great horned owl ,"Great horned owl (KS-174), (OR-295), OR-360",Strigidae,Owls,Owls,"Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
503,361,OR-361,1,Orange-crowned warbler ,"Orange-crowned warbler OR-361, OR-365",Parulidae,Warblers,Warblers,"Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
504,362,OR-362,1,Pacific-slope flycatcher ,Pacific-slope flycatcher OR-362,Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga","Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
505,363,OR-363,1,Tree swallow ,Tree swallow OR-363,Hirundinidae,"Larks, swallows","Larks, swallows","Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
506,364,OR-364,1,Western scrub-jay ,"Western scrub-jay CO-326, OR-364",Corvidae,Jays and crows,Jays and crows,"Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
513,365,OR-365,1,Lazuli bunting ,"Lazuli bunting OR-313, OR-329, OR-339, OR-365",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +","Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
507,365,OR-365,1,Evening grosbeak ,Evening grosbeak OR-365,Cardinalidae,"Finches, house sparrow","Finches, house sparrow","Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
508,365,OR-365,1,Purple finch ,Purple finch OR-365,Fringillidae,"Finches, house sparrow","Finches, house sparrow","Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
510,365,OR-365,2,Ring-necked pheasant,"Ring-necked pheasant (CO-139), (KS-175), (ID-309), (ID-310), (OR-365)",Phasianidae,"Quail, grouse, pheasants","Quail, grouse, +","Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
509,365,OR-365,1,Warbling vireo ,"Warbling vireo IL-124, WY-242, OR-325, OR-365",Vireonidae,"Shrikes, vireos","Shrikes, vireos","Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
512,365,OR-365,1,Orange-crowned warbler ,"Orange-crowned warbler OR-361, OR-365",Parulidae,Warblers,Warblers,"Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
511,365,OR-365,1,Wilson’s warbler ,"Wilson’s warbler CO-211, OR-365",Parulidae,Warblers,Warblers,"Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
514,366,OR-366,1,Red-tailed hawk,Red-tailed hawk OR-366,Accipitridae,"Osprey, hawks","Osprey, hawks","Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
515,367,OR-367,1,Red-breasted sapsucker ,Red-breasted sapsucker OR-367,Picidae,"Kingfisher, woodpeckers","Kingfisher, woodpeckers","Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
516,368,OR-368,1,Black-throated gray warbler,Black-throated gray warbler OR-368,Parulidae,Warblers,Warblers,"Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
517,369,OR-369,1,Acorn woodpecker ,Acorn woodpecker OR-369,Picidae,"Kingfisher, woodpeckers","Kingfisher, woodpeckers","Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
518,370,OR-370,1,Hutton’s vireo ,Hutton’s vireo OR-370,Vireonidae,"Shrikes, vireos","Shrikes, vireos","Homecoming, in Willamette Valley of Oregon ","Willamette Valley, Oregon","Oregon: Homecoming, in Willamette Valley","Willamette Valley, OR"
519,371,OR-371,1,Marsh wren ,"Marsh wren CO-230, MT-294, OR-371",Troglodytidae,Wrens,Wrens,"Pacific coast, Oregon ","Pacific coast, Oregon",Oregon: The Pacific coast,"Pacific coast, OR"
520,372,OR-372,1,Swainson’s thrush ,"Swainson’s thrush MT-243, OR-354, OR-372, OR-373 ",Turdidae,Thrushes,Thrushes,"Pacific coast, Oregon ","Pacific coast, Oregon",Oregon: The Pacific coast,"Pacific coast, OR"
521,373,OR-373,1,Swainson’s thrush ,"Swainson’s thrush MT-243, OR-354, OR-372, OR-373 ",Turdidae,Thrushes,Thrushes,"Pacific coast, Oregon ","Pacific coast, Oregon",Oregon: The Pacific coast,"Pacific coast, OR"
522,374,OR-374,1,Spotted towhee ,"Spotted towhee CO-194, (OR-207), WY-235, ID-298, OR-354, (OR-359), OR-374, OR-375, OR-378 ",Emberizidae,Sparrows,Sparrows,"Pacific coast, Oregon ","Pacific coast, Oregon",Oregon: The Pacific coast,"Pacific coast, OR"
524,375,OR-375,1,Dark-eyed junco ,"Dark-eyed junco VA-63, WY-251, OR-336, OR-375",Emberizidae,Sparrows,Sparrows,"Pacific coast, Oregon ","Pacific coast, Oregon",Oregon: The Pacific coast,"Pacific coast, OR"
523,375,OR-375,1,Spotted towhee  ,"Spotted towhee CO-194, (OR-207), WY-235, ID-298, OR-354, (OR-359), OR-374, OR-375, OR-378 ",Emberizidae,Sparrows,Sparrows,"Pacific coast, Oregon ","Pacific coast, Oregon",Oregon: The Pacific coast,"Pacific coast, OR"
